Size of petsc world is 1

Generalized eigenproblem.

 Number of iterations of the method: 1
 Number of linear iterations of the method: 2205
 Solution method: lapack

 Number of requested eigenvalues: 1
 Stopping condition: tol=1e-08, maxit=0
 Number of converged approximate eigenpairs: 2205

           k          ||Ax-kBx||/||kx||
   ----------------- ------------------
 -0.000000-0.000000 i  2.17266e+08
  0.000000-0.000000 i   1.6332e+09
 -0.000000+0.000000 i  2.81584e+08
  0.000000-0.000000 i  3.89842e+08
 -0.033943-0.029479 i  1.80973e-07
 -0.061424-0.030224 i  1.75969e-07
 -0.060382-0.032695 i  3.05475e-07
 -0.086287-0.061507 i  1.95866e-07
  0.113931+0.100094 i  1.34663e-07
  0.050146+0.145945 i  2.32851e-07
  0.065281+0.165593 i  3.13095e-07
 -0.021749+0.179554 i  6.22898e-07
 -0.043679+0.175816 i  2.74154e-07
  0.125123+0.156152 i  1.57947e-07
 -0.073078+0.187643 i  1.91843e-07
  0.175512+0.114232 i  8.67814e-08
 -0.066113+0.209875 i  2.99752e-07
  0.053159+0.223891 i  4.23249e-07
 -0.002226+0.233087 i  4.16686e-07
 -0.045612+0.242832 i  6.36433e-07
  0.166183+0.203718 i  2.07975e-07
 -0.135720+0.240389 i  6.77644e-07
  0.084315+0.262936 i  2.39679e-07
 -0.128528+0.250563 i  5.21212e-07
  0.237655+0.152194 i  2.83186e-07
  0.068744+0.273926 i   2.4086e-07
  0.245240+0.152853 i  2.69984e-07
  0.068701+0.287533 i  2.05814e-07
 -0.039259+0.295267 i  3.67046e-07
  0.277009+0.111592 i  3.45974e-07
  0.291711+0.097920 i  5.59575e-07
  0.302373+0.080367 i  5.72238e-07
 -0.161042+0.271018 i  5.39212e-07
  0.294978+0.124301 i    4.887e-07
 -0.026863+0.320111 i  2.38344e-07
 -0.103160+0.304973 i  4.50672e-07
 -0.162189+0.279740 i    2.325e-07
  0.316632+0.076487 i  6.34483e-07
 -0.067903+0.327305 i  4.93558e-07
 -0.061910+0.335088 i   3.4478e-07
 -0.016129+0.348031 i  1.60097e-07
  0.323822+0.129150 i  3.34417e-07
 -0.056971+0.368096 i  4.57522e-07
 -0.066437+0.371118 i  2.24247e-07
 -0.026179+0.382434 i  3.77015e-07
 -0.034129+0.385298 i  8.13182e-08
 -0.051562+0.399980 i   4.4859e-07
  0.405141+0.083272 i  4.57241e-07
 -0.073979+0.408544 i  1.58874e-07
  0.415289+0.058664 i  2.87283e-07
 -0.050144+0.418178 i  3.04327e-07
 -0.047284+0.419631 i  3.41601e-07
  0.419983+0.055968 i  4.82721e-07
 -0.047615+0.424625 i  1.57052e-07
  0.431368+0.035415 i  5.29338e-07
 -0.044861+0.430648 i  4.61817e-07
 -0.340290+0.285507 i  4.71583e-07
 -0.076661+0.448414 i  2.81465e-07
 -0.037186+0.459450 i  2.22124e-07
 -0.068769+0.459503 i  2.53456e-07
 -0.024965+0.469123 i  4.59072e-07
 -0.069575+0.468067 i  2.32929e-07
  0.461097+0.106877 i  2.59443e-07
 -0.368598+0.297547 i  5.08846e-07
 -0.062355+0.474840 i  2.96532e-07
 -0.367984+0.308293 i  1.90519e-07
  0.479171+0.076217 i  3.73506e-07
 -0.028408+0.486493 i  1.49517e-07
 -0.027842+0.489620 i   3.1838e-07
  0.470201+0.145281 i  2.47221e-07
  0.479992+0.112606 i  2.51768e-07
 -0.393482+0.306617 i  3.05394e-07
 -0.051359+0.503591 i  1.45244e-07
