k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
6.04449e-13 - 7.12521e-13 i
1.60064e-13 + 9.78046e-14 i
3.763e-13 - 3.64997e-13 i
3.41025e-13 + 7.65113e-14 i
1.52247e-12 - 4.83498e-13 i
8.60533e-13 - 2.21905e-14 i
1.16136e-12 + 5.97678e-13 i
1.12081e-12 + 6.27546e-13 i
8.67559e-13 - 5.34783e-13 i
1.16495e-12 + 5.40918e-13 i
1.29912e-12 - 5.37776e-13 i
1.04908e-12 + 5.72744e-13 i
3.21553e-13 + 6.32208e-14 i
8.68355e-13 - 3.51636e-13 i
1.30729e-12 + 1.14225e-13 i
5.89745e-13 + 1.58432e-13 i
1.26228e-12 - 1.16972e-13 i
1.24601e-12 - 5.40828e-13 i
1.02874e-12 - 4.61045e-13 i
4.91028e-13 - 4.02972e-13 i
1.61159e-12 - 3.66702e-13 i
9.87986e-13 + 5.3588e-13 i
7.8956e-13 - 4.51803e-13 i
7.91317e-13 - 7.9852e-13 i
1.02652e-12 + 5.79958e-13 i
9.17705e-13 + 4.30637e-13 i
2.87304e-13 - 7.93778e-14 i
1.47014e-12 - 1.96803e-13 i
1.18867e-12 + 8.92505e-14 i
1.35697e-12 - 4.55224e-13 i
7.88159e-13 + 4.15554e-13 i
1.14963e-12 - 8.86727e-14 i
8.91166e-13 - 4.86383e-13 i
6.13351e-13 - 6.6574e-13 i
1.44634e-12 - 1.47618e-13 i
1.05975e-12 - 6.24817e-13 i
1.35905e-12 - 1.54741e-13 i
1.04044e-12 - 7.65105e-13 i
6.08849e-13 - 5.61801e-13 i
1.62952e-12 - 3.23056e-13 i
5.58994e-13 - 3.74892e-13 i
9.61309e-13 - 3.9264e-13 i
3.11633e-07 - 5.7665e-08 i
-3.94908e-07 - 8.48317e-08 i
4.30633e-07 + 2.10763e-07 i
-3.76445e-07 - 2.35974e-07 i
3.84958e-07 + 2.80669e-07 i
-3.14445e-07 - 2.87106e-07 i
3.37753e-07 + 3.08793e-07 i
-2.25029e-07 - 3.02002e-07 i
2.70774e-07 + 3.28418e-07 i
-8.45798e-08 - 3.3317e-07 i
2.01613e-07 + 3.86103e-07 i
1.20936e-07 - 6.46847e-07 i
-4.20259e-07 + 4.81637e-07 i
-3.6503e-06 - 1.09028e-05 i
